# net/minecraft/block/Block
field_71969_a,field_149772_a
field_71989_cb,field_149782_v
field_72016_cq,field_149765_K
field_72017_co,field_149763_I
field_72018_cp,field_149764_J
field_72019_cm,field_149757_G
field_72021_ck,field_149755_E
field_72022_cl,field_149756_F
field_72023_ci,field_149760_C
field_72024_cj,field_149754_D
field_72025_cg,field_149758_A
field_72026_ch,field_149759_B
field_72027_ce,field_149790_y
field_72028_cf,field_149789_z
field_72029_cc,field_149781_w
field_72030_cd,field_149791_x
field_94336_cN,field_149761_L
field_111026_f,field_149768_d
func_71846_a,func_149681_a
func_71847_b,func_149674_a
func_71848_c,func_149711_c
func_71849_a,func_149647_a
func_71850_a_,func_149707_d
func_71851_a,func_149733_h
func_71853_i,func_149744_f
func_71854_d,func_149718_j
func_71855_c,func_149748_c
func_71856_s_,func_149701_w
func_71857_b,func_149645_b
func_71858_a,func_149691_a
func_71859_p_,func_149738_a
func_71860_a,func_149689_a
func_71861_g,func_149726_b
func_71862_a,func_149734_b
func_71865_a,func_149709_b
func_71866_a,func_149746_a
func_71867_k,func_149723_a
func_71868_h,func_149713_g
func_71869_a,func_149670_a
func_71871_a,func_149743_a
func_71872_e,func_149668_a
func_71873_h,func_149643_k
func_71875_q,func_149722_s
func_71876_u,func_149652_G
func_71878_a,func_149731_a
func_71881_r,func_149653_t
func_71882_w,func_149708_J
func_71883_b,func_149696_a
func_71886_c,func_149686_d
func_71887_s,func_149716_u
func_71889_f_,func_149741_i
func_71891_b,func_149724_b
func_71892_f,func_149639_l
func_71893_a,func_149636_a
func_71894_b,func_149752_b
func_71896_v,func_149649_H
func_71897_c,func_149697_b
func_71899_b,func_149692_a
func_71900_a,func_149715_a
func_71901_a,func_149640_a
func_71902_a,func_149719_a
func_71903_a,func_149727_a
func_71904_a,func_149638_a
func_71905_a,func_149676_a
func_71906_q_,func_149700_E
func_71907_b,func_149675_a
func_71908_a,func_149737_a
func_71910_a,func_149679_a
func_71911_a_,func_149633_g
func_71913_a,func_149678_a
func_71914_a,func_149690_a
func_71915_e,func_149656_h
func_71917_a,func_149739_a
func_71919_f,func_149683_g
func_71920_b,func_149720_d
func_71921_a,func_149699_a
func_71923_g,func_149657_c
func_71924_d,func_149747_d
func_71925_a,func_149745_a
func_71926_d,func_149662_c
func_71927_h,func_149725_f
func_71929_a,func_149642_a
func_71930_b,func_149742_c
func_71931_t,func_149732_F
func_71933_m,func_149635_D
func_71934_m,func_149712_f
func_71935_l,func_149703_v
func_82506_l,func_149698_L
func_85103_a,func_149659_a
func_85104_a,func_149660_a
