# net/minecraft/block/Block
field_71969_a,field_149772_a
field_71989_cb,field_149782_v
field_72016_cq,field_149765_K
field_72017_co,field_149763_I
field_72018_cp,field_149764_J
field_72019_cm,field_149757_G
field_72021_ck,field_149755_E
field_72022_cl,field_149756_F
field_72023_ci,field_149760_C
field_72024_cj,field_149754_D
field_72025_cg,field_149758_A
field_72026_ch,field_149759_B
field_72027_ce,field_149790_y
field_72028_cf,field_149789_z
field_72029_cc,field_149781_w
field_72030_cd,field_149791_x
field_94336_cN,field_149761_L
field_111026_f,field_149768_d
# net/minecraft/block/material/MapColor
field_76275_f,field_151656_f
field_76276_g,field_151657_g
field_76277_d,field_151658_d
field_76278_e,field_151659_e
field_76279_b,field_151660_b
field_76280_c,field_151661_c
field_76282_n,field_151662_n
field_76283_o,field_151663_o
field_76284_l,field_151664_l
field_76285_m,field_151665_m
field_76286_j,field_151666_j
field_76287_k,field_151667_k
field_76288_h,field_151668_h
field_76289_i,field_151669_i
# net/minecraft/block/material/Material
field_76232_D,field_151569_G
field_76236_A,field_151566_D
field_76237_B,field_151567_E
field_76238_C,field_151568_F
field_76243_f,field_151573_f
field_76244_g,field_151586_h
field_76245_d,field_151575_d
field_76246_e,field_151576_e
field_76247_b,field_151577_b
field_76248_c,field_151578_c
field_76249_a,field_151579_a
field_76250_n,field_151581_o
field_76251_o,field_151595_p
field_76252_l,field_151583_m
field_76253_m,field_151580_n
field_76254_j,field_151585_k
field_76255_k,field_151582_l
field_76256_h,field_151587_i
field_76257_i,field_151584_j
field_76258_w,field_151596_z
field_76259_v,field_151597_y
field_76260_u,field_151588_w
field_76261_t,field_151589_v
field_76262_s,field_151590_u
field_76263_r,field_151591_t
field_76264_q,field_151592_s
field_76265_p,field_151594_q
field_76266_z,field_151572_C
field_76267_y,field_151571_B
field_76268_x,field_151570_A
field_82717_g,field_151574_g
field_111018_r,field_151593_r
# net/minecraft/client/gui/GuiButton
field_73741_f,field_146127_k
field_73742_g,field_146124_l
field_73743_d,field_146129_i
field_73744_e,field_146126_j
field_73745_b,field_146121_g
field_73746_c,field_146128_h
field_73747_a,field_146120_f
field_73748_h,field_146125_m
field_110332_a,field_146122_a
# net/minecraft/client/gui/GuiScreen
field_73880_f,field_146294_l
field_73881_g,field_146295_m
field_73882_e,field_146297_k
field_73883_a,field_146290_a
field_73885_j,field_146291_p
field_73886_k,field_146289_q
field_73887_h,field_146292_n
field_85042_b,field_146287_f
field_85043_c,field_146288_g
field_92018_d,field_146298_h
# net/minecraft/client/gui/GuiTextField
field_73809_f,field_146216_j
field_73810_g,field_146217_k
field_73811_d,field_146218_h
field_73812_e,field_146219_i
field_73813_b,field_146209_f
field_73814_c,field_146210_g
field_73815_a,field_146211_a
field_73816_n,field_146225_q
field_73817_o,field_146224_r
field_73818_l,field_146213_o
field_73819_m,field_146226_p
field_73820_j,field_146215_m
field_73821_k,field_146212_n
field_73822_h,field_146214_l
field_73823_s,field_146220_v
field_73824_r,field_146221_u
field_73825_q,field_146222_t
field_73826_p,field_146223_s
# net/minecraft/client/gui/inventory/GuiContainer
field_74193_d,field_147002_h
field_74194_b,field_146999_f
field_74195_c,field_147000_g
field_74197_n,field_147009_r
field_74198_m,field_147003_i
field_82320_o,field_147006_u
field_85045_v,field_146991_C
field_85046_u,field_146990_B
field_85047_t,field_146989_A
field_85048_s,field_147010_z
field_85049_r,field_147011_y
field_85050_q,field_147012_x
field_85051_p,field_147005_v
field_90018_r,field_147004_w
field_92032_z,field_146986_E
field_92033_y,field_146985_D
field_94067_D,field_146988_G
field_94068_E,field_146995_H
field_94069_F,field_146996_I
field_94070_G,field_146997_J
field_94071_C,field_146987_F
field_94072_H,field_146998_K
field_94073_I,field_146992_L
field_94074_J,field_146993_M
field_94075_K,field_146994_N
field_94076_q,field_147007_t
field_94077_p,field_147008_s
# net/minecraft/client/network/NetHandlerPlayClient
field_72556_d,field_147304_c
field_72557_e,field_147306_l
field_72558_b,field_147305_a
field_72559_c,field_147303_b
field_72561_j,field_147309_h
field_72562_k,field_147310_i
field_72563_h,field_147299_f
field_72564_i,field_147300_g
field_98183_l,field_147307_j
# net/minecraft/entity/Entity
field_70157_k,field_145783_c
# net/minecraft/network/NetHandlerPlayServer
field_72573_d,field_147367_d
field_72574_e,field_147369_b
field_72578_n,field_147375_m
field_72579_o,field_147373_o
field_72580_l,field_147377_k
field_72581_m,field_147374_l
field_72582_j,field_147379_i
field_72583_k,field_147376_j
field_72584_h,field_147366_g
field_72585_i,field_147378_h
field_72586_s,field_147372_n
field_72587_r,field_147380_r
field_72588_q,field_147381_q
field_72589_p,field_147382_p
# net/minecraft/tileentity/TileEntity
field_70323_b,field_145853_j
field_70324_q,field_145854_h
field_70325_p,field_145847_g
field_70326_a,field_145855_i
field_70327_n,field_145849_e
field_70328_o,field_145846_f
field_70329_l,field_145851_c
field_70330_m,field_145848_d
field_70331_k,field_145850_b
# net/minecraft/tileentity/TileEntityFurnace
field_70404_d,field_145957_n
field_70405_b,field_145963_i
field_70406_c,field_145961_j
field_70407_a,field_145956_a
field_94130_e,field_145958_o
field_102009_f,field_145960_m
field_102010_d,field_145962_k
field_102011_e,field_145959_l
# net/minecraft/world/ChunkPosition
field_76930_a,field_151329_a
field_76928_b,field_151327_b
field_76929_c,field_151328_c
# net/minecraft/world/World
field_72989_L,field_147481_N
field_73000_b,field_147483_b
field_73002_a,field_147484_a
field_73009_h,field_147482_g
